event_id,round,player,points,tournament_points,opponent
1,3,Adam Momsen,485,10,Christopher Cottrill
1,3,Patrick Logan,490,10,Josiah Nelson
1,3,Josiah Nelson,47,1,Patrick Logan
1,3,Jacob Amos-Landgraf,30,3,Kale Campagna
1,3,Kale Campagna,212,8,Jacob Amos-Landgraf
1,3,Daniel Hrobar,274,4,Aaron Klingbeil
1,3,Aaron Klingbeil,400,7,Daniel Hrobar
1,3,Ricardo Marmolejo,45,1,Nicholas Kolker
1,3,Nicholas Kolker,400,10,Ricardo Marmolejo
1,3,Matt Somes,420,10,Atticus Rampson
1,3,Atticus Rampson,40,1,Matt Somes
1,3,Dennis Daniels,191,8,Mitchell Trantham
1,3,Mitchell Trantham,0,3,Dennis Daniels
1,4,Andrew Sackett,400,10,Daniel Allen
1,4,Daniel Allen,0,1,Andrew Sackett
1,4,Daniel Unzeitig,0,6,Patrick Doupe
1,4,Patrick Doupe,0,5,Daniel Unzeitig
1,4,Ryan Becker,88,4,Christopher Fritz
1,4,Christopher Fritz,181,7,Ryan Becker
1,4,Mackenzie Dalla Lana,0,6,Samuel Simon
1,4,Samuel Simon,0,5,Mackenzie Dalla Lana
1,4,Rhys Aghatabay,0,6,Michael Cox
1,4,Michael Cox,0,5,Rhys Aghatabay
1,4,Justin Preyer,32,3,Joshua Fletcher
1,4,Joshua Fletcher,215,8,Justin Preyer
1,4,Jacek Klopotowski,0,5,Andrew Graber
1,4,Andrew Graber,0,6,Jacek Klopotowski
1,4,James McCartney,40,6,Colin Looney
1,4,Colin Looney,0,5,James McCartney
1,4,David Holmes,0,3,Jason Hughley
1,4,Jason Hughley,203,8,David Holmes
1,4,Adam Newton,0,6,Andrew Armbruster
1,4,Andrew Armbruster,0,5,Adam Newton
1,4,Aaron Hudson,30,3,Samuel Wang
1,4,Samuel Wang,218,8,Aaron Hudson
1,4,Aron Huckaba,30,5,Justin Schoonmaker
1,4,Justin Schoonmaker,45,6,Aron Huckaba
1,4,Greg Fyfe,0,5,Paul Conrad
1,4,Paul Conrad,0,6,Greg Fyfe
1,4,Mitchell Fallinger,0,4,Dennis Raschke
1,4,Dennis Raschke,134,7,Mitchell Fallinger
1,4,Eric Pearson,15,4,Benjamin Baldwin
1,4,Benjamin Baldwin,129,7,Eric Pearson
1,4,Hiroki Ogawa,124,2,Andrew Preyer
1,4,Andrew Preyer,365,9,Hiroki Ogawa
1,4,Paul Heaver,460,7,Eric Connors
1,4,Eric Connors,365,4,Paul Heaver
1,4,Derek Cummings,0,1,Jordan Shettell
1,4,Jordan Shettell,400,10,Derek Cummings
1,4,Lewis Wright,156,5,Matthew Ansley
1,4,Matthew Ansley,159,6,Lewis Wright
1,4,Lucas Woolard,138,2,Jason Dedrick
1,4,Jason Dedrick,400,9,Lucas Woolard
1,4,Brooke Kortenbusch,16,1,Damon Jordan
1,4,Damon Jordan,400,10,Brooke Kortenbusch
1,4,Nicholas Larson,215,8,Will Ross
1,4,Will Ross,53,3,Nicholas Larson
1,4,Robert Coldwell,237,7,Jacob Thompson
1,4,Jacob Thompson,137,4,Robert Coldwell
1,4,Joseph Morton,487,10,Christian Garcia
1,4,Christian Garcia,176,1,Joseph Morton
1,4,Christopher McWilliam,100,5,Eric Burtch
1,4,Eric Burtch,110,6,Christopher McWilliam
1,4,Royce Podeszwa,462,10,Charles White
1,4,Charles White,139,1,Royce Podeszwa
1,4,Mariano Banchero,31,1,Kyle Campagna
1,4,Kyle Campagna,460,10,Mariano Banchero
1,4,Joseph Nelligan,164,7,Christopher Ernest
1,4,Christopher Ernest,68,4,Joseph Nelligan
